Loan.Id,Current.Loan.Amount,Term,Credit.Score,Years.in.current.job,Annual.Income,Monthly.Debt,Years.of.Credit.History,Number.of.Credit.Problems,Current.Credit.Balance,Maximum.Open.Credit,Loan.Status
1547,12176,0,745,10,131911,2176.53,30.8,0,8440,19403,1
1548,5044,0,745,1,62539,447.68,11.4,0,11950,35460,1
1549,23352,1,667,9,129958,2555.85,29.9,1,23605,53769,1
1550,5385,0,-1,2,-1,1241.71,15.3,1,1954,8533,0
1551,13307,0,746,10,59142,1182.84,23.4,0,25809,77504,1
1552,4898,0,734,7,43877,1111.55,19.2,0,4122,4386,0
1553,26905,1,616,10,70868,1346.49,17.8,0,1461,3746,0
1554,27860,0,737,7,309445,4486.95,20.3,0,7912,20713,1
1555,8926,0,750,2,73163,737.72,14.4,0,19263,65299,0
1556,14799,0,737,10,56236,1265.31,25,0,11743,12194,1
1557,6083,1,-1,3,-1,444.63,18.4,0,7273,12849,1
1558,14703,1,687,3,86258,1049.47,18,0,19116,20688,1
1559,28546,0,746,10,71365,903.96,33.2,0,44080,68130,1
1560,5286,0,751,6,27409,95.02,23.7,0,4135,40145,1
1561,4980,0,732,-1,55770,613.47,37.6,1,943,4578,0
1562,32221,0,748,7,81672,506.37,14.9,0,6046,15542,0
1563,3506,0,657,5,110198,2488.64,15.9,0,30971,31961,1
1564,100000000,1,663,8,70481,998.48,29.5,0,22169,42632,1
1565,9102,0,750,10,70791,587.57,18,0,8873,16773,1
1566,7892,0,741,10,107726,636.48,23.3,0,11680,15288,1
1567,34334,1,713,10,138124,3706.33,15.1,0,30113,29698,0
1568,28064,1,-1,9,-1,716.85,17.4,0,31087,59100,1
1569,35319,1,-1,6,-1,1369.77,14.9,0,3313,19720,1
1570,9618,0,708,8,46087,317.62,9.7,0,1655,2103,0
1571,9122,0,-1,4,-1,711.05,17,0,4538,10554,1
1572,19868,0,-1,3,-1,1655.67,28.5,0,26308,44971,1
1573,9845,0,714,10,53163,1063.26,20,1,8128,25086,0
1574,29454,1,708,10,61853,1195.83,17.2,0,34909,85771,1
1575,8809,0,709,9,55429,1053.15,20.1,0,34920,60415,1
1576,12079,0,-1,9,-1,587.05,14,1,10351,17908,1
1577,9040,0,723,5,70308,1019.47,15.5,1,7515,17080,1
1578,35637,1,705,8,101820,1306.69,14.4,0,24147,36641,1
1579,7814,0,726,10,144552,1811.71,24.5,0,115868,115984,1
1580,34720,1,721,7,119040,1220.16,18,0,26699,48720,1
1581,23764,0,701,1,199739,1781,19.3,2,19943,26002,1
1582,100000000,1,712,10,45108,481.15,10.8,0,3362,20503,1
1583,2983,0,748,9,41756,177.12,20.6,1,4776,12635,1
1584,11921,0,-1,3,-1,658.54,10.6,1,6572,8648,1
1585,10234,1,674,10,42769,1047.83,15.4,0,15450,18436,0
1586,21175,1,619,5,87057,2111.13,17.1,0,9198,22218,0
1587,100000000,0,721,5,39266,494.09,8.4,0,9261,13823,1
1588,6112,0,736,3,45842,450.77,11,0,6044,8561,1
1589,10084,0,721,5,25210,392.85,9.4,0,11913,15532,0
1590,100000000,0,746,1,54902,915.03,13.7,0,516,36892,1
1591,10039,0,723,-1,60234,642.5,16,0,6378,9966,1
1592,34549,1,658,2,96736,959.29,14.8,0,3753,12636,0
1593,17636,0,-1,6,-1,968.04,16.2,0,27067,41260,1
1594,4954,0,722,8,42600,254.54,32.2,1,9119,11001,1
1595,10071,0,-1,10,-1,198.73,13.3,0,6354,10573,0
1596,15353,0,746,10,66528,1075.52,14,0,27551,84771,0
1597,25826,0,-1,3,-1,1311.67,20.5,0,20481,23460,1
1598,23710,1,663,6,103730,1132.38,22.8,0,19628,24202,1
1599,9816,0,741,2,55951,517.55,15.7,0,5148,11290,1
1600,20070,0,734,1,50175,1237.65,16.5,1,12603,23383,0
1601,4423,0,721,7,31626,867.07,13.5,1,9244,18788,1
1602,20158,0,716,9,82648,1990.43,14.5,0,38602,40805,0
1603,8523,1,-1,4,-1,20.08,10.6,0,450,22511,0
1604,100000000,1,735,10,111837,1463.2,19,0,21387,42018,1
1605,100000000,0,730,1,29535,357.37,11.9,0,6805,15572,1
1606,14492,1,701,2,155992,1663.91,22.7,0,10920,11569,1
1607,14679,0,-1,2,-1,1882.69,29.9,0,67003,221132,1
1608,20286,0,-1,2,-1,347.69,12.4,0,9950,17335,1
1609,7890,0,679,8,53260,1180.6,16.1,0,9750,16469,1
1610,24545,0,742,8,153405,28.12,20.3,0,4748,81869,1
1611,14904,0,736,4,102701,733.46,18.6,0,11625,27353,1
1612,12452,0,712,-1,43142,1013.84,12.6,0,26984,58156,1
1613,10206,0,721,10,68380,1230.84,21.9,0,20046,23174,1
1614,12133,0,732,4,35438,992.28,12.7,0,7334,20659,1
1615,12971,0,745,5,37118,155.59,13.5,0,6995,23471,1
1616,20250,0,747,1,121500,1550.14,17.5,0,25606,62607,1
1617,5085,0,-1,10,-1,15.26,8.3,0,965,4778,1
1618,20521,0,-1,10,-1,768.73,16,0,11418,21026,1
1619,100000000,0,748,6,61302,487.86,16.3,0,14425,50615,1
1620,26844,1,-1,10,-1,642.47,22.6,0,27218,33071,1
1621,23001,1,689,8,141232,930.95,24.8,0,14899,19175,0
1622,4462,0,-1,1,-1,423.86,17.6,0,16116,50521,1
1623,7184,0,722,3,47894,822.19,6.9,0,8653,32900,1
1624,15356,1,706,6,60398,1177.77,17.7,0,28062,31744,1
1625,9984,1,681,3,40938,433.27,14,0,2307,5993,1
1626,7963,0,745,4,98545,1683.47,15.9,0,7434,10852,0
1627,15939,1,721,10,71503,1686.28,12,0,11170,21946,1
1628,14931,1,-1,10,-1,967.93,32.5,0,4389,69662,0
1629,2535,0,-1,10,-1,925.28,33.2,0,16070,21599,1
1630,5449,0,-1,1,-1,1303.12,11.7,0,7373,15328,1
1631,100000000,0,749,5,50955,373.24,12.5,0,1160,11720,1
1632,21079,0,729,9,73193,963.7,30,0,35792,52404,1
1633,19822,1,647,10,71359,298.52,15.4,0,9717,40826,0
1634,11802,0,-1,9,-1,1017.92,19.6,0,11601,14557,1
1635,5902,0,-1,8,-1,134.47,8.7,0,4841,52623,0
1636,11952,1,684,2,37718,996.38,7.2,0,12231,22037,1
1637,11749,1,656,10,79784,536.55,16,0,0,0,1
1638,8021,0,-1,9,-1,590.86,29.2,0,12894,15841,1
1639,20815,1,722,10,125882,2370.78,31,0,27301,34911,0
1640,14717,0,740,4,49055,264.9,26,0,9194,40681,1
1641,21675,1,-1,5,-1,644.74,17.8,0,17088,41780,0
1642,4008,1,608,1,42458,1057.91,7.9,0,6033,10715,1
1643,11987,0,-1,10,-1,1444.66,10.7,1,17953,32465,1
1644,6053,0,740,3,60528,1200.47,9,0,13667,18671,1
1645,8471,0,747,1,93575,1263.26,18,0,29875,96683,1
1646,6043,0,-1,3,-1,894.73,8.6,0,6056,11692,1
1647,8265,0,712,10,39124,785.74,13.8,1,8600,11317,1
1648,12049,0,740,6,65267,734.25,14.3,0,7802,8536,1
1649,1486,0,703,1,30750,441.78,11.1,0,806,820,1
1650,35154,0,709,10,97427,1684.67,29.2,0,79768,105514,1
1651,100000000,1,708,8,46987,503.15,20.2,0,19232,24848,1
1652,15017,1,735,10,61067,1470.7,15,0,19548,37812,1
1653,16256,0,722,6,46736,1051.56,16.5,1,6784,7718,0
1654,9099,1,738,2,60660,392.27,11.9,0,1834,3845,0
1655,100000000,0,698,8,65065,580.16,9.8,0,8002,8881,1
1656,4994,0,704,7,84898,1068.3,22.3,0,6612,17871,1
1657,35245,1,629,3,95665,1482.81,17.2,0,32545,44461,1
1658,9842,1,688,4,49210,844.77,11,0,5967,14276,0
1659,3433,0,734,7,54925,473.73,27,0,6810,12564,1
1660,13332,0,-1,2,-1,3720.16,17.6,0,27323,39598,0
1661,23933,0,693,1,55995,1138.57,11.1,0,5265,9626,1
1662,13166,0,738,10,66086,1365.76,15,0,36351,60992,1
1663,6136,0,738,4,21210,277.5,11,0,9519,23274,0
1664,100000000,0,728,3,32885,427.5,47.4,0,14779,16531,1
1665,9795,0,740,10,48975,1199.89,21.6,0,16691,40809,1
1666,100000000,1,649,10,118677,2877.91,32,0,32602,55540,1
1667,100000000,0,695,1,33244,905.9,10.8,0,4295,4668,1
1668,6618,0,743,4,34962,559.38,12.2,0,10571,15388,1
1669,9921,0,716,6,84329,1721.71,19.7,0,16728,25306,1
1670,20156,1,651,3,54421,462.58,19.3,0,20471,44311,0
1671,17950,0,729,7,53849,1278.91,16,0,15718,28017,0
1672,11424,0,733,7,23842,355.64,11.6,0,11860,18024,1
1673,20466,0,-1,10,-1,604.75,19.3,0,23450,42636,0
1674,100000000,0,733,4,35627,620.49,14.8,1,4906,20878,1
1675,16243,0,-1,10,-1,1096.42,18.6,0,15428,33108,0
1676,26382,0,-1,8,-1,176.78,15.4,0,2497,24482,1
1677,24310,0,750,8,61158,1284.32,16.8,0,2473,35326,0
1678,8550,0,-1,10,-1,1011.46,18.2,2,3467,9962,1
1679,5612,0,699,3,63999,661.33,12.7,0,2307,3051,1
1680,4443,0,716,6,54307,1647.31,9.6,0,22624,26369,0
1681,19044,0,-1,9,-1,1262.9,11.4,0,19046,52613,1
1682,13727,0,741,9,79310,760.06,19.5,0,12472,30272,0
1683,8025,0,707,4,35109,743.13,10.2,0,17475,18650,0
1684,28599,0,745,4,204280,893.73,14.9,0,13653,84278,1
1685,6885,0,-1,-1,-1,677.85,11.8,0,5582,7667,0
1686,100000000,1,699,2,119496,944.02,20.8,1,4745,11953,1
1687,11780,1,-1,8,-1,850.64,18.8,0,6698,14984,0
1688,10110,1,701,1,90990,917.48,13.2,0,9596,31056,1
1689,10935,1,-1,1,-1,648.65,13.4,1,6308,10745,0
1690,23894,1,691,4,59736,762.63,12.1,0,10356,16438,1
1691,7680,0,738,-1,41214,700.64,25.1,0,39890,50881,1
1692,9891,0,723,10,84074,1275.12,26,1,5321,8810,1
1693,9867,0,-1,5,-1,317.11,18.7,0,9263,11741,0
1694,100000000,0,716,1,96074,2185.67,27.3,0,30962,58751,1
1695,5912,0,743,2,68978,1316.33,29.3,0,21002,37773,1
1696,3049,0,705,-1,17073,361.38,36.8,1,4156,19791,1
1697,25221,0,-1,4,-1,1577.26,32.9,0,38236,53702,1
1698,4888,0,-1,1,-1,900.91,14.1,1,6772,15461,1
1699,34706,1,674,1,128908,2084.02,15.1,0,38195,48471,0
1700,23784,0,663,1,94157,712.45,15.5,0,8712,19404,0
1701,6866,0,-1,6,-1,799.76,10.7,0,8199,12951,1
1702,6494,0,679,6,50735,269.74,11.8,0,0,0,1
1703,4651,0,714,-1,74028,826.64,23,3,7942,10287,1
1704,100000000,0,717,2,34020,711.6,17.1,0,2006,8722,1
1705,16214,1,-1,-1,-1,1033.67,18,0,9510,12562,1
1706,18092,0,703,10,60890,1410.63,20.6,0,27440,46350,1
1707,34888,0,652,10,69776,1860.7,12.5,0,24395,28802,1
1708,7443,0,-1,1,-1,377.21,16.8,0,8285,19357,1
1709,3054,0,735,5,54967,94.36,37.9,0,2444,24198,1
1710,14640,0,743,10,88621,728.16,12.4,0,26008,27522,1
1711,8028,0,673,10,68639,749.31,12.9,1,5134,6019,1
1712,6498,1,640,1,57872,593.19,13.8,1,5620,15025,1
1713,20314,1,715,4,85639,1370.22,17.2,0,20376,30873,1
1714,16258,0,-1,10,-1,947.77,14.5,0,10940,14226,1
1715,11888,1,722,3,64396,1990.89,19.5,0,17764,42909,1
1716,15104,1,711,4,41786,842.69,10.8,0,14294,17625,1
1717,17386,1,-1,10,-1,791.49,14.9,0,23191,43348,0
1718,9182,0,751,4,193838,156.68,25,0,3259,29623,1
1719,11060,0,739,7,62882,748.82,19.5,0,7595,10959,1
1720,100000000,0,719,3,57959,1246.13,23.5,0,15751,45002,1
1721,10874,0,722,6,49425,286.67,22.1,1,9988,13247,1
1722,17915,0,-1,10,-1,1155.12,20,0,4553,13922,0
1723,7575,0,745,10,42420,320.27,10,0,14640,25639,1
1724,17257,0,-1,1,-1,716.49,17.2,0,11705,17655,1
1725,14354,0,-1,10,-1,303.49,13,2,4133,13640,1
1726,14919,0,733,6,61665,460.43,27,0,11280,53970,0
1727,10736,0,690,-1,50019,368.9,14,0,3656,7476,1
1728,100000000,0,740,5,29325,657.37,9.6,0,8468,25818,1
1729,21486,1,-1,10,-1,1393.66,16.4,0,10657,19202,1
1730,4937,0,747,4,59238,1086.03,9.8,0,11040,28601,1
1731,11393,0,666,-1,49970,334.8,14.7,0,12003,14187,1
1732,100000000,0,728,10,157018,3153.45,31,0,99047,96069,1
1733,35816,0,747,-1,110516,1418.29,47.5,0,96752,628260,1
1734,13352,0,748,10,70805,613.65,13.4,0,0,0,1
1735,21878,0,738,10,63915,751,20.9,0,6396,50765,1
1736,15838,1,-1,10,-1,192.14,15,1,8966,9408,0
1737,100000000,0,734,9,119062,2113.35,23.4,0,39923,70164,1
1738,100000000,0,708,10,54405,1160.64,14,1,3462,11897,1
1739,9867,0,-1,4,-1,795.53,20.9,1,9678,16375,1
1740,17712,1,671,2,43296,865.92,15.2,0,16084,21053,1
1741,1829,0,719,10,24878,167.72,15.5,1,1595,5908,1
1742,4330,0,-1,1,-1,376.22,10.5,0,4235,6476,1
1743,29601,1,724,10,86830,890,16.2,0,3376,16311,0
1744,100000000,0,734,10,94429,1518.73,33.8,0,40971,69915,1
1745,19772,1,698,4,52949,891.31,13.1,0,18365,25401,1
1746,7173,0,708,10,26900,636.64,12.2,0,6360,7474,0
1747,12209,1,-1,10,-1,587.15,9,0,10923,21292,1
1748,12077,0,731,1,34647,681.38,7.6,0,10383,25263,1
1749,20612,1,-1,10,-1,1178.61,16.9,1,8892,36148,1
1750,4805,0,699,1,37267,456.52,7.2,0,3313,5201,1
1751,10166,0,746,4,23460,177.51,14.6,0,5823,23107,1
1752,4210,0,719,7,32659,139.89,15,1,2807,7386,0
1753,19506,1,694,4,58518,1043.57,16.8,0,8767,15194,0
1754,8786,0,-1,8,-1,320.14,19.6,0,7744,9573,1
1755,11113,0,740,10,36718,434.5,24.9,0,13453,20602,1
1756,23566,1,728,1,117828,1679.05,17.6,0,24634,28185,0
1757,10932,0,747,5,42733,690.86,9.5,0,10798,24374,0
1758,14984,0,721,9,39956,772.48,24,0,18340,43459,1
1759,20240,0,744,3,161920,1605.71,29.6,0,46129,66757,1
1760,24470,1,646,3,88092,807.51,24.6,0,15644,32190,0
1761,10194,0,-1,3,-1,793.78,14,0,6305,12339,0
1762,10209,1,675,10,61254,959.65,11.1,0,7646,36582,1
1763,7919,0,-1,8,-1,584.3,30.7,0,10753,13698,1
1764,21414,1,-1,10,-1,1583.27,28.7,0,10165,36831,1
1765,11857,1,712,10,59286,1689.65,16.2,1,9077,22635,1
1766,8585,0,672,-1,21755,156.81,20.8,0,4419,5091,1
1767,13578,1,728,10,80416,845.04,19.5,0,38287,52810,1
1768,9625,0,735,4,28518,501.44,8.2,0,7526,17624,1
1769,19784,1,683,10,93974,861.43,21.9,0,12549,21379,1
1770,17969,0,703,5,59898,449.24,9,0,6760,14385,1
1771,19790,1,723,10,62339,1397.42,17.5,0,14485,27591,0
1772,5993,0,728,3,46944,903.66,8.9,0,12198,17084,1
1773,15869,1,713,10,64467,412.59,9.2,0,14769,24014,1
1774,100000000,1,720,1,47617,376.18,11.6,0,4003,6772,1
1775,25470,0,698,9,81504,582.07,17,0,14783,22296,1
1776,100000000,1,720,8,62597,1100.66,17.6,0,30026,62947,1
1777,19610,1,726,6,95599,1187.02,11.6,0,10904,20192,1
1778,31714,1,616,2,89522,660.23,13.4,0,19433,35527,0
1779,100000000,0,742,10,91728,2163.25,42.8,0,66679,93127,1
1780,13721,0,-1,4,-1,1881.79,22.2,0,68054,111382,1
1781,34748,0,663,9,90345,1182.01,30.5,0,14559,21039,1
1782,35805,1,726,1,102300,1568.6,16.6,0,32723,71918,1
1783,3599,0,-1,10,-1,736.92,38.1,0,6012,30517,1
1784,4734,0,715,5,23669,394.48,18.5,0,6971,25916,1
1785,6038,0,-1,8,-1,863.82,15.4,1,6901,8354,1
1786,12091,0,-1,1,-1,1076.04,18.1,0,12863,19460,1
1787,14273,0,741,7,96853,2041.98,26.9,0,14919,41100,1
1788,25358,1,724,10,85201,650.37,16.8,2,26308,48991,1
1789,8607,0,723,2,61296,1542.62,17.5,0,25230,38519,1
1790,9820,0,-1,6,-1,367.09,14.2,1,3715,14626,1
1791,15665,1,679,10,54879,1079.29,7.4,0,5828,12670,0
1792,11796,0,740,1,42937,640.84,14.8,0,3153,4912,1
1793,21473,0,708,2,89980,2309.49,7.1,0,23592,30679,0
1794,14052,1,719,3,75278,420.93,12.5,0,20778,61838,1
1795,3906,0,731,2,39304,273.16,15.9,0,1517,1769,0
1796,14940,0,-1,1,-1,107.39,19.6,0,483,492,1
1797,1529,0,-1,2,-1,408.96,9.5,0,9317,17645,1
1798,12995,0,737,4,44174,861.4,13.9,1,3296,16647,1
1799,4684,0,736,2,43911,206.75,15,0,8730,35781,1
1800,11856,0,-1,7,-1,803.57,13.2,0,4536,12741,1
1801,19516,0,745,5,94575,1056.08,18.4,0,23098,56337,1
1802,7858,0,748,1,48355,577.04,17.4,0,23673,51130,1
1803,10888,0,714,1,32038,734.21,12,0,18069,39451,1
1804,12048,0,695,1,45943,482.02,11.7,0,7516,9222,1
1805,9231,0,712,3,26727,721.64,13.7,0,8822,10693,1
1806,100000000,0,740,10,97832,978.32,16.8,1,7613,15106,1
1807,8827,0,707,9,88272,1485.91,36.5,0,38681,41370,1
1808,5050,0,648,10,75750,1458.19,17.4,0,17261,17073,1
1809,11147,0,-1,2,-1,417.35,5.9,0,10027,39170,0
1810,34493,0,-1,1,-1,2642.69,20.7,0,30798,37331,1
1811,100000000,0,704,2,49340,612.64,12.7,1,968,5532,1
1812,12727,0,-1,10,-1,2381.15,18.9,0,28749,30455,0
1813,4943,0,-1,6,-1,314.34,12,0,11409,29255,1
1814,11316,0,719,3,44280,944.64,10.5,0,11271,19773,0
1815,17762,1,665,10,55569,1338.29,21.7,0,15270,39052,1
1816,9248,0,693,4,29751,542.96,12.9,0,7367,8930,1
1817,24723,0,717,3,77134,1844.79,19.3,0,35062,41057,1
1818,35284,0,687,4,104842,1795.43,22.5,0,51279,73256,1
1819,11275,0,-1,1,-1,712.02,17.9,0,10217,14015,1
1820,12177,1,668,5,36007,627.13,16.5,1,11875,15402,1
1821,30075,0,741,10,120300,3368.4,34,0,30418,74010,0
1822,7579,0,-1,1,-1,1381.44,21.8,0,59909,67617,0
1823,16318,0,703,7,49675,641.63,9.5,0,9425,16306,0
1824,100000000,0,751,10,45153,1087.43,23.4,0,12196,34453,1
1825,9322,0,748,1,42196,530.96,15.6,0,9470,16384,1
1826,30702,1,675,10,100293,2164.66,15.8,0,20364,62465,1
1827,9777,0,743,5,97770,1303.6,19.2,0,19333,37834,1
1828,5577,0,748,2,37011,515.99,10.3,0,3318,12380,0
1829,1002,0,730,10,35053,733.18,22,0,24704,43569,1
1830,18421,1,685,1,51170,861.37,15.8,0,11904,14326,0
1831,6006,0,718,1,214683,935.66,22.5,0,5045,9911,1
1832,25917,1,715,6,90709,566.17,16.5,0,14716,21736,1
1833,10048,0,-1,10,-1,1456.51,19.3,0,30348,33167,1
1834,5605,0,-1,2,-1,90.83,7.8,0,1287,3202,1
1835,6839,0,712,2,68390,820.68,15.9,1,2987,4004,0
1836,3593,1,-1,3,-1,507.06,13.4,0,0,0,0
1837,3656,0,745,3,45457,409.11,9.7,0,3504,8894,1
1838,9822,1,721,3,127682,973.58,13,0,8240,44780,1
1839,31719,1,673,10,70938,1164.57,10.7,0,11844,24726,1
1840,12404,1,638,8,36497,468.37,19.2,0,20756,31165,1
1841,12901,0,736,4,51605,761.17,15,1,8221,10719,0
1842,9777,0,-1,-1,-1,1529.45,23.9,0,19078,19547,0
1843,15182,1,686,2,70847,1287.06,8.5,0,7795,15285,1
1844,19013,1,740,10,45547,812.24,17.2,0,17091,20131,0
1845,5958,0,721,-1,33100,131.85,35.4,1,3897,6285,1
1846,32518,0,701,5,188978,746.46,15.1,0,16209,16955,1
1847,1760,0,697,6,49585,694.19,8.8,0,7843,9719,1
1848,13480,1,746,10,50039,537.92,16,0,2378,25036,0
1849,34818,0,672,10,198960,1102.57,17.7,0,41987,49630,0
1850,100000000,0,721,1,57417,372.26,21.9,0,3780,7622,1
1851,100000000,0,734,2,46862,116.37,12.8,3,3718,15237,1
1852,21361,0,741,10,91548,1022.29,24.5,0,23196,25323,1
1853,11428,0,-1,10,-1,1348.41,22.1,0,7082,9596,0
1854,20021,0,746,2,117768,868.54,16.8,0,7565,12162,1
1855,12982,0,706,10,44937,310.44,29.4,0,4714,15874,1
1856,13325,1,689,1,50762,706.45,11.3,0,22074,26468,1
1857,10184,0,729,10,73325,1148.76,9,0,14929,27493,1
1858,9766,0,-1,10,-1,1472.22,21.6,0,16348,17674,1
1859,18243,0,-1,10,-1,1196.74,15.4,0,25101,37690,1
1860,10032,0,746,9,42134,257.72,9.5,0,12095,17352,1
1861,9223,0,742,1,51240,65.76,12.2,0,2734,15713,1
1862,2496,0,745,6,56339,554,16,0,5408,30379,0
1863,8527,0,738,10,25608,258.21,26.6,0,9175,22542,0
1864,11228,0,731,6,55138,1759.81,28.4,0,36719,46597,0
1865,23291,0,747,5,49142,540.57,21.5,0,393,35740,1
1866,4210,0,724,10,40800,795.6,12.7,0,4700,8217,1
1867,100000000,1,721,4,32458,484.16,12.4,0,12225,15714,1
1868,20472,0,-1,7,-1,2340.21,23.6,0,7949,17281,0
1869,100000000,1,724,1,84779,1723.84,16.9,0,27102,38718,1
1870,9990,0,720,10,57942,787.04,16.9,0,7694,22368,0
1871,100000000,1,728,9,110176,1772,24.3,0,23834,46280,1
1872,11950,1,702,10,48794,943.35,9.4,1,3696,15149,1
1873,1533,0,724,1,39870,498.37,7.8,0,4518,5217,1
1874,30967,0,718,4,78733,1305.67,20.6,0,160637,764937,1
1875,9091,0,742,10,48033,234.97,14.6,0,9134,22117,1
1876,25010,0,-1,10,-1,2109.17,20,0,27731,29314,1
1877,12149,1,689,6,53657,1408.5,10.6,0,12338,23911,1
1878,9210,0,732,2,79087,517.36,14.2,0,5138,14115,1
1879,24069,1,-1,5,-1,521.56,13.3,0,18356,23594,0
1880,6144,0,745,6,84949,1875.96,23.4,1,13089,31540,1
1881,18577,0,680,10,47242,1086.56,24.6,0,8457,10239,1
1882,23968,1,713,1,55075,633.36,11.3,0,26597,34055,1
1883,100000000,0,707,5,30486,421.72,14.7,0,10539,19923,1
1884,20200,1,718,10,48480,715.08,28.9,0,26341,42692,1
1885,100000000,0,749,2,196287,945.45,17.9,0,56514,119479,1
1886,6914,0,-1,1,-1,628.01,21,0,6653,13333,1
1887,8028,0,738,10,52182,116.54,17.2,0,3730,6114,1
1888,20168,0,745,10,70588,917.64,26.4,0,12285,37570,1
1889,7951,0,674,1,49695,726.37,17.9,1,25885,25937,1
1890,13654,0,744,5,63395,945.63,14.5,0,18981,41717,1
1891,16425,1,693,4,66484,930.77,9.8,0,5428,9185,1
1892,6997,0,725,10,62969,429.77,15.2,0,5012,7795,1
1893,10815,1,603,-1,39361,682.26,16.7,0,8340,25581,1
1894,5709,0,673,1,20480,201.39,6,0,1422,9235,0
1895,6033,0,729,3,105578,976.59,23.7,1,3741,6742,1
1896,10020,0,-1,10,-1,343.79,17.2,0,8296,10915,1
1897,15958,1,732,2,57151,847.74,19,0,6095,14376,1
1898,24569,0,658,7,56620,1377.75,22.3,0,25624,27030,1
1899,19751,1,738,3,40308,984.19,24.1,0,27330,30742,1
1900,14912,0,749,1,129233,1507.72,18.5,0,23247,64041,1
1901,3510,0,745,3,18234,49.69,8.8,0,1554,9536,1
1902,8754,0,-1,8,-1,1160.2,19.6,0,13256,17512,1
1903,18140,0,677,10,79876,1451.09,13.5,0,16898,29699,1
1904,10103,0,706,1,36371,830.47,20.9,0,12741,29493,1
1905,16503,0,745,7,76015,1615.32,30,0,24280,32503,1
1906,30732,1,731,10,105513,1169.43,15.3,0,27108,36484,1
1907,21109,0,-1,9,-1,519.84,16.9,0,7883,8246,0
1908,7980,0,-1,1,-1,634.32,13.3,0,756,26072,1
1909,8934,0,703,9,77155,1716.7,16.6,2,14302,20002,0
1910,9802,0,741,1,915837,1305.07,13.9,0,12451,18177,1
1911,100000000,1,713,1,216876,2945.9,17.4,0,107822,113976,1
1912,10077,0,738,1,65501,993.42,7.7,0,13839,28771,0
1913,34524,1,649,4,83844,1157.05,16.2,0,25967,28916,0
1914,7095,0,706,10,98540,1330.29,18.5,0,28494,31730,1
1915,6851,0,719,10,28676,812.49,15.1,0,4511,39224,1
1916,4866,0,657,3,76035,817.38,17.1,0,24002,26758,0
1917,24380,0,-1,10,-1,807.22,13.6,0,2810,10806,1
1918,100000000,1,696,9,44834,560.42,9.5,0,6801,22153,1
1919,100000000,0,730,4,93376,1984.23,17.2,0,13172,34572,1
1920,2362,0,714,10,63967,1151.4,18.3,0,2658,2754,1
1921,12771,0,724,3,49552,433.59,19.3,0,11834,12878,1
1922,9825,0,717,7,47160,759.28,18.6,0,16049,19937,1
1923,14904,1,738,10,139104,878.67,27.4,0,32740,61197,1
1924,20230,1,721,5,45405,677.29,18.4,1,15215,35219,1
1925,7867,0,700,5,49162,38.51,11.5,0,785,2854,1
1926,8473,0,736,1,59808,867.22,17,0,7652,34316,0
1927,34892,0,718,9,92712,1985.58,14,0,17013,52672,0
1928,18011,0,689,2,50030,1350.81,9,0,34297,61354,0
1929,9852,0,717,10,38423,710.82,22.4,0,4073,6601,1
1930,8058,0,-1,2,-1,816.16,20.1,0,6704,9272,1
1931,1219,0,711,6,32465,292.19,8.5,0,4395,4676,1
1932,16599,1,694,3,41620,981.54,14.7,0,14132,20661,1
1933,21040,1,-1,10,-1,924.42,19,0,12542,61782,0
1934,15600,0,723,10,43875,1221.19,34.5,0,24248,31288,1
1935,100000000,0,721,6,40896,237.2,12,1,8495,9204,1
1936,12774,0,-1,1,-1,987.51,12.2,0,18951,22805,1
1937,9866,0,-1,4,-1,226.92,7.1,0,3243,6900,0
1938,7154,0,719,1,29808,509.22,12.5,0,4510,9740,1
1939,22623,0,741,9,57675,1244.82,27,0,8815,9850,1
1940,15054,1,641,1,80288,943.38,28.9,0,10974,11539,0
1941,19826,0,-1,1,-1,798,17.4,0,17484,20617,1
1942,4553,0,707,1,15176,336.39,13,1,2832,3644,1
1943,15662,0,732,2,152708,850.08,18.7,3,12365,16356,1
1944,9557,0,-1,10,-1,1061.87,18.3,0,22214,30681,1
1945,20486,1,719,4,104530,1768.3,15,0,23565,40841,1
1946,14483,1,696,10,42729,1093.15,12,0,11646,26712,1
1947,11978,0,748,10,59892,1392.49,16.9,0,9421,22063,1
1948,9055,0,-1,3,-1,766.55,18,0,11285,18870,1
1949,11415,1,634,6,30105,398.89,9.9,0,13066,15554,0
1950,100000000,0,746,10,306330,1072.16,19.2,0,27531,53148,1
1951,4959,0,733,1,73386,917.32,27.9,1,3178,12868,1
1952,19996,0,725,10,124975,1416.39,17.5,0,99663,114819,1
1953,2749,0,-1,10,-1,901.85,15.5,0,30476,46315,1
1954,7859,0,-1,10,-1,0,16,0,0,0,1
1955,9095,0,747,1,70742,760.48,14.7,0,8516,15372,1
1956,2350,0,-1,3,-1,915.46,21.5,0,22102,24477,1
1957,34955,0,724,10,114851,1799.33,26.3,0,64124,80255,1
1958,5048,0,703,10,70672,759.72,13.2,0,5544,10304,1
1959,5954,0,748,1,82361,1372.68,20.4,1,2360,3972,1
1960,20496,0,733,1,81984,1298.08,13.9,0,10045,13630,0
1961,100000000,0,737,2,109601,2192.01,13.6,0,11423,32920,1
1962,16003,0,751,1,75015,962.69,27.4,0,19575,43792,1
